LLS,P_325MHz,Morphology,Bmag
500,3.2E+25,L,
700,9.7E+23,L,8.862
470,2.7E+23,L,
1580,5.2E+25,S,
1300,2.3E+25,S,17.88
390,2.2E+25,L,
500,5.5E+24,L,11.191
200,2.5E+24,S,17.249
390,6.3E+24,S,15.811
330,6.1E+25,S,11.061
640,1.2E+24,L,11.576
380,3.1E+24,S,15.609
490,5.0E+23,S,9.936
360,4.8E+24,S,
1900,2.6E+25,L,9.753
2300,2.3E+25,S,16.11
1110,5.2E+24,S,16.688
290,2.3E+23,L,14.279
380,1.1E+26,L,18.004
750,2.3E+24,S,17.235
2540,1.1E+24,S,9.804
900,5.9E+23,L,9.307
1100,7.0E+24,S,16.905
750,1.8E+23,L,18.095
470,1.4E+25,L,17.235
250,1.2E+26,S,19.767
170,5.0E+25,L,17.289
180,4.9E+25,L,21.638
230,2.7E+25,L,20.162
520,1.2E+25,S,18.793
660,8.9E+25,S,18.754
190,4.9E+24,S,17.654
380,1.2E+25,S,18.878
430,1.2E+24,S,18.456
