#LLS(kpc),P_325MHz(W/Hz)
2400.0,1.04479270776e+26
2500.0,1.04482338304e+27
860.0,1.05337105306e+26
2400.0,2.78769775757e+26
2140.0,9.39511384689e+25
1880.0,3.15926131854e+26
1580.0,7.16264765845e+25
2130.0,5.33580439289e+25
1330.0,1.3017226807e+25
1610.0,1.05255445059e+25
1330.0,3.9414522015e+26
3710.0,1.50805226202e+26
780.0,6.50288130782e+24
1060.0,1.63335851987e+25
1710.0,8.5595833227e+24
930.0,8.98437063204e+24
1510.0,1.253186771e+25
910.0,2.32684847293e+25
1740.0,5.59011542236e+25
1500.0,4.03473525329e+25
2880.0,1.6933283014e+26
1870.0,2.37030631058e+26
850.0,3.64806972604e+24
840.0,8.66303790914e+24
3480.0,4.50649311106e+26
