#LLS(kpc),P_325MHz(W/Hz)
3660.0,1e+26
2320.0,4.46683592151e+26
540.0,1.1220184543e+25
1000.0,1.20226443462e+25
1370.0,5.3703179637e+25
590.0,7.58577575029e+24
2030.0,2.23872113857e+26
1680.0,4.26579518802e+26
1920.0,3.80189396321e+25
1400.0,4.3651583224e+25
1330.0,3.98107170553e+24
1940.0,2.75422870334e+25
1820.0,1.17489755494e+25
1500.0,3.16227766017e+26
1170.0,1.47910838817e+25
1370.0,1.90546071796e+25
1930.0,7.94328234724e+24
1420.0,2.04173794467e+25
1270.0,1.20226443462e+25
2430.0,3.46736850453e+26
980.0,2.95120922667e+25
1900.0,1.81970085861e+26
2330.0,5.12861383991e+26
1870.0,6.3095734448e+25
1080.0,4.07380277804e+25
1270.0,3.0199517204e+25
2900.0,1.54881661891e+26
1540.0,1.1481536215e+26
1940.0,1.94984459976e+25
1950.0,1.3803842646e+26
1280.0,2.57039578277e+25
950.0,1.58489319246e+25
1570.0,5.2480746025e+26
