#LLS(kpc),P_325MHz(W/Hz)
602.908543936,4.13404558575e+26
408.444771181,3.85999553362e+27
150.943753845,2.54825391818e+27
879.408781388,7.81458597926e+24
283.835215967,3.04411963516e+26
700.605697829,8.44138333476e+26
908.47063173,7.663280853e+25
159.846117514,4.40540480639e+27
899.311498256,3.739355951e+27
417.843160142,1.02216108268e+28
557.967115246,2.02183574894e+27
287.807676331,1.91260097423e+25
340.216679878,3.59804447623e+27
598.504559788,2.75607880949e+25
465.576071182,2.84646742228e+25
181.933412636,6.67486295782e+25
423.825574099,4.07257472633e+27
374.038613917,8.51534686222e+26
257.325374375,2.6197231493e+27
374.973225332,3.34875848481e+26
1469.75385874,4.11119183818e+25
216.715073061,1.19738356468e+26
195.010952835,2.90721585566e+27
312.262914211,3.82554647668e+27
538.263231386,2.17854672609e+27
712.149221497,4.83384008453e+26
1022.83405716,7.17352141889e+25
337.230052225,1.88752398639e+27
4349.09538817,2.65678946404e+26
286.948885331,8.4713571127e+27
194.390855351,2.11184310697e+27
165.604451188,1.6744116613e+25
848.274156533,6.67144189797e+27
649.7321745,1.14504889129e+27
264.625573439,1.02594553982e+26
218.302413154,4.79170107002e+25
200.355089288,1.16278718042e+25
409.029729082,2.74175948633e+27
307.570510861,2.23342215495e+26
417.157859955,2.32550708248e+26
368.877331361,3.53450338757e+26
326.139462337,9.4506284687e+26
524.670918082,2.1975561463e+26
2108.98604057,3.10882701345e+26
444.917450107,5.04574982499e+27
1828.57562061,9.1754655664e+24
285.135629941,1.07198990076e+27
371.736724211,4.3193793429e+27
196.905055954,7.30970746507e+26
239.349956996,2.35116191729e+26
117.915763734,9.74157383508e+26
301.646105795,1.4670910845e+25
500.065774023,5.60100443865e+24
1109.89663194,4.85963983547e+27
199.922900829,1.18250432984e+26
364.181562584,1.49540474698e+27
399.429609216,5.83442062101e+26
339.474247582,4.89531940008e+25
