#LLS (Mpc)	LLS (kpc)	S 150 (mJy)	S 325 (mJy)	z	D (L) (Mpc)	P (325) (W/Hz)
0.9	900	9.6	5.587490036	1.09	7458	2.98139E+25
0.7	700	4.1	2.38632387	1.02	6868.1	1.09094E+25
1.1	1100	58.6	34.10697043	1.1	7543.7	1.85929E+26
1.3	1300	145	84.39438076	0.94	6205.9	3.18848E+26
0.8	800	53.8	31.31322541	1.07	7288.9	1.60052E+26
1	1000	55.6	32.36087979	1.09	7458.6	1.727E+26
1.1	1100	9.9	5.7620991	0.561	3290.5	6.53259E+24
0.9	900	258	150.1637947	1.03	6951.8	7.02284E+26
3.4	3400	20.4	11.87341633	0.83	5319.3	3.35391E+25
0.8	800	3.6	2.095308764	1.5	11089.1	2.3424E+25
0.8	800	40.7	23.68862963	0.36	1937.1	9.70028E+24
2.9	2900	191	111.1677705	0.58	3426.3	1.36155E+26
1.7	1700	486	282.8666831	0.586	3469.5	3.54835E+26
1	1000	217	126.300556	0.7	4311.8	2.39657E+26
0.9	900	14.3	8.323032033	0.71	4387.6	1.63244E+25
1.2	1200	14.6	8.497641097	0.419	2317.5	4.91751E+24
1.2	1200	42.8	24.91089308	0.75	4693.7	5.55278E+25
1	1000	62.2	36.20227919	0.82	5240.1	9.94021E+25
0.9	900	46.8	27.23901393	0.96	6370.1	1.08096E+26
1.2	1200	386	224.6636619	0.68	4161.1	3.98436E+26
1.1	1100	200	116.4060424	0.851	5486.2	3.48577E+26
1.3	1300	18.3	10.65115288	0.93	6124.1	3.92478E+25
1.4	1400	64.7	37.65735472	0.15	718.4	2.23036E+24
1.4	1400	7.5	4.365226591	2.18	17582.6	1.14142E+26
0.7	700	3.9	2.269917827	1	6701.2	9.9085E+24
0.9	900	602	350.3821877	0.59	3498.3	4.46518E+26
0.7	700	7.5	4.365226591	0.588	3483.9	5.51931E+24
1.3	1300	10.9	6.344129312	0.88	5718.6	2.0545E+25
0.7	700	270	157.1481573	0.32	1688.1	4.931E+25
1.4	1400	137	79.73813906	1.059	7195.9	3.9787E+26
1.1	1100	92.9	54.0706067	1.124	7748.8	3.09946E+26
1.1	1100	22.6	13.15388279	0.65	3937.3	2.09994E+25
3	3000	11.6	6.75155046	1.17	8145	4.24864E+25
1.7	1700	52	30.26557103	0.629	3782.3	4.47596E+25
1.4	1400	14.6	8.497641097	0.512	2946.1	7.79704E+24
0.8	800	166	96.61701521	0.238	1201.6	1.56588E+25
1.3	1300	24	13.96872509	1.04	7035.8	6.68185E+25
1	1000	8.2	4.772647739	0.79	5004.4	1.20118E+25
1	1000	116	67.5155046	0.44	2456.4	4.37013E+25
1.2	1200	65.7	38.23938494	1.04	7035.8	1.82916E+26
0.9	900	114	66.35144418	1.3	9284.5	5.33152E+26
0.9	900	84	48.89053782	0.185	905.5	4.55919E+24
0.7	700	107	62.2772327	0.81	5161.3	1.66167E+26
1.6	1600	5.2	3.026557103	0.88	5718.6	9.80128E+24
0.7	700	13.1	7.624595779	2.836	24221.4	3.57646E+26
2.3	2300	12.3	7.158971609	0.552	3226.6	7.81763E+24
0.7	700	28.4	16.52965802	1.609	12095.7	2.17063E+26
0.8	800	1628	947.5451853	1	6701.2	4.13616E+27
1	1000	5.1	2.968354082	0.69	4236.3	5.44659E+24
1.2	1200	145	84.39438076	0.96	6370.1	3.34912E+26
1.4	1400	3.7	2.153511785	1.5	11089.1	2.40746E+25
0.8	800	10.6	6.169520248	0.429	2383.4	3.76823E+24
0.9	900	54.8	31.89525562	0.198	976.7	3.44916E+24
0.8	800	5.6	3.259369188	0.546	3184.1	3.47013E+24
0.9	900	30.1	17.51910938	1.63	12291.3	2.36986E+26
0.9	900	69.8	40.6257088	0.25	1270.7	7.34202E+24
1.6	1600	8	4.656241697	0.94	6205.9	1.75916E+25
0.7	700	6.3	3.666790336	1.02	6868.1	1.67631E+25
1.3	1300	9.5	5.529287015	0.58	3426.3	6.77212E+24
0.8	800	11	6.402332333	0.86	5558.1	1.96489E+25
3.8	3800	21.5	12.51364956	1.8	13894	2.12272E+26
1.7	1700	17.9	10.4183408	0.262	1340.5	2.08937E+24
1.2	1200	4	2.328120848	0.57	3354.7	2.7387E+24
0.8	800	228	132.7028884	0.8	5082.7	3.43945E+26
1.8	1800	23.2	13.50310092	0.5	2863.1	1.17295E+25
2.7	2700	149	86.7225016	0.49	2794.3	7.18991E+25
0.8	800	17.4	10.12732569	0.542	3155.9	1.06003E+25
1.1	1100	9.7	5.645693057	0.532	3085.6	5.66005E+24
0.9	900	457	265.9878069	1.1	7543.7	1.44999E+27
1.1	1100	344	200.218393	0.48	2726	1.58299E+26
0.8	800	166	96.61701521	0.8	5082.7	2.50416E+26
0.8	800	16.5	9.6034985	0.259	1323	1.87734E+24
0.9	900	15	8.730453182	0.91	5961.2	3.05771E+25
0.8	800	39.6	23.0483964	0.77	4848.5	5.46343E+25
